id,idprojeto,idempresa,form_id,aaa,teste,pipipi,mannnn,pipoca,pipo,valor_minimo,cnpj,alem,nova_coluna,facilidade,email,produtividade,prod_sim,prod_nao,melhorias,melhorias_sim,melhorias_nao,nps_projeto,escala_apoio_projeto,escala_satisfacao_empreender,eficiencia_energetica,eficiencia_energetica_texto,associativismo,mescs,praticas_economicas_sustentaveis,declaracao_autenticidade
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,1010,1111,aaa,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,1010,1111,aaa,nem,,,,,,,,,,,,,,,,,
6,,,,,,,,,,1010,1111,aaa,nem,não,,,,,,,,,,,,,,,,
7,,,,,,,,,,,00597099103,,,,cesarisadog@gmail.com,Sim,assa,Sim,Sim,sasa,Sim,8,8,8,Sim,saas,Sim,Sim,Sim,Sim
8,,,,,,,,,,,00597099102,,,,sur.cesar@gmail.com,Sim,ahahahja,Não,Não,aaa,Sim,10,10,10,Sim,a,Não,Não,Não,Sim
9,,,,,,,,,,1010,09.351.994/0001-65,aaa,nem,não,,,,,,,,,,,,,,,,
10,,,,,,,,,,,01750283000151,,,,a@b.com,Sim,Realizamos um baile,Sim,Sim,,Não,5,5,5,Sim,Não tenho a menor idéia,Não,Não,Não,Sim
